Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GRLCL_1D_ETHCD Spectral Count	GRLCL_1D_HCD Spectral Count	GRLCL_2D_ETHCD Spectral Count	GRLCL_1D_ETHCD Intensity	GRLCL_1D_HCD Intensity	GRLCL_2D_ETHCD Intensity	Indistinguishable Proteins
sp|Q12769|NU160_HUMAN	Q12769	NU160_HUMAN	NUP160	1436	Homo sapiens	1:Experimental evidence at protein level	Nuclear pore complex protein Nup160	1.0000	0.9990	9	17	17	17	2	3	12	     0	     0	     0		
sp|Q12770|SCAP_HUMAN	Q12770	SCAP_HUMAN	SCAP	1279	Homo sapiens	1:Experimental evidence at protein level	Sterol regulatory element-binding protein cleavage-activating protein	1.0000	0.9982	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q12772|SRBP2_HUMAN	Q12772	SRBP2_HUMAN	SREBF2	1141	Homo sapiens	1:Experimental evidence at protein level	Sterol regulatory element-binding protein 2	1.0000	0.9891	6	8	7	8	0	4	4	     0	     0	     0		
sp|Q12788|TBL3_HUMAN	Q12788	TBL3_HUMAN	TBL3	808	Homo sapiens	1:Experimental evidence at protein level	Transducin beta-like protein 3	1.0000	0.9990	7	19	19	19	1	7	11	     0	     0	     0		
sp|Q12789|TF3C1_HUMAN	Q12789	TF3C1_HUMAN	GTF3C1	2109	Homo sapiens	1:Experimental evidence at protein level	General transcription factor 3C polypeptide 1	1.0000	0.9986	4	11	11	11	3	3	5	     0	     0	     0		
sp|Q12796|PNRC1_HUMAN	Q12796	PNRC1_HUMAN	PNRC1	327	Homo sapiens	1:Experimental evidence at protein level	Proline-rich nuclear receptor coactivator 1	1.0000	0.9987	2	4	4	4	1	1	2	     0	     0	     0		
sp|Q12802|AKP13_HUMAN	Q12802	AKP13_HUMAN	AKAP13	2813	Homo sapiens	1:Experimental evidence at protein level	A-kinase anchor protein 13	1.0000	0.9982	9	12	12	12	1	6	5	     0	     0	     0		
sp|Q12834|CDC20_HUMAN	Q12834	CDC20_HUMAN	CDC20	499	Homo sapiens	1:Experimental evidence at protein level	Cell division cycle protein 20 homolog	1.0000	0.9969	1	5	5	5	2	1	2	     0	     0	     0		
sp|Q12882|DPYD_HUMAN	Q12882	DPYD_HUMAN	DPYD	1025	Homo sapiens	1:Experimental evidence at protein level	Dihydropyrimidine dehydrogenase [NADP(+)]	1.0000	0.9988	3	7	7	7	2	2	3	     0	     0	     0		
sp|Q12888|TP53B_HUMAN	Q12888	TP53B_HUMAN	TP53BP1	1972	Homo sapiens	1:Experimental evidence at protein level	TP53-binding protein 1	1.0000	0.9989	4	5	5	5	0	1	4	     0	     0	     0		
sp|Q12905|ILF2_HUMAN	Q12905	ILF2_HUMAN	ILF2	390	Homo sapiens	1:Experimental evidence at protein level	Interleukin enhancer-binding factor 2	1.0000	0.9979	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q12906|ILF3_HUMAN	Q12906	ILF3_HUMAN	ILF3	894	Homo sapiens	1:Experimental evidence at protein level	Interleukin enhancer-binding factor 3	1.0000	0.9989	4	4	4	4	0	0	4	     0	     0	     0		
sp|Q12907|LMAN2_HUMAN	Q12907	LMAN2_HUMAN	LMAN2	356	Homo sapiens	1:Experimental evidence at protein level	Vesicular integral-membrane protein VIP36	1.0000	0.9917	3	3	3	3	0	2	1	     0	     0	     0		
sp|Q12912|IRAG2_HUMAN	Q12912	IRAG2_HUMAN	IRAG2	555	Homo sapiens	1:Experimental evidence at protein level	Inositol 1,4,5-triphosphate receptor associated 2	1.0000	0.9988	3	4	4	4	0	1	3	     0	     0	     0		
sp|Q12931|TRAP1_HUMAN	Q12931	TRAP1_HUMAN	TRAP1	704	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein 75 kDa, mitochondrial	1.0000	0.9949	2	3	3	3	0	1	2	     0	     0	     0		
sp|Q12965|MYO1E_HUMAN	Q12965	MYO1E_HUMAN	MYO1E	1108	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ie	1.0000	0.9951	3	5	5	5	0	2	3	     0	     0	     0		
sp|Q12968|NFAC3_HUMAN	Q12968	NFAC3_HUMAN	NFATC3	1075	Homo sapiens	1:Experimental evidence at protein level	Nuclear factor of activated T-cells, cytoplasmic 3	1.0000	0.9952	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q12979|ABR_HUMAN	Q12979	ABR_HUMAN	ABR	859	Homo sapiens	1:Experimental evidence at protein level	Active breakpoint cluster region-related protein	1.0000	0.9972	2	2	2	2	0	0	2	     0	     0	     0		
sp|Q12980|NPRL3_HUMAN	Q12980	NPRL3_HUMAN	NPRL3	569	Homo sapiens	1:Experimental evidence at protein level	GATOR1 complex protein NPRL3	1.0000	0.9949	3	4	4	4	0	2	2	     0	     0	     0		
sp|Q12983|BNIP3_HUMAN	Q12983	BNIP3_HUMAN	BNIP3	194	Homo sapiens	1:Experimental evidence at protein level	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	1.0000	0.9966	2	3	3	3	0	2	1	     0	     0	     0		
sp|Q12996|CSTF3_HUMAN	Q12996	CSTF3_HUMAN	CSTF3	717	Homo sapiens	1:Experimental evidence at protein level	Cleavage stimulation factor subunit 3	1.0000	0.9941	2	4	4	4	0	1	3	     0	     0	     0		
sp|Q13042|CDC16_HUMAN	Q13042	CDC16_HUMAN	CDC16	620	Homo sapiens	1:Experimental evidence at protein level	Cell division cycle protein 16 homolog	1.0000	0.9912	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q13045|FLII_HUMAN	Q13045	FLII_HUMAN	FLII	1269	Homo sapiens	1:Experimental evidence at protein level	Protein flightless-1 homolog	1.0000	0.9979	4	13	13	13	4	3	6	     0	     0	     0		
sp|Q13077|TRAF1_HUMAN	Q13077	TRAF1_HUMAN	TRAF1	416	Homo sapiens	1:Experimental evidence at protein level	TNF receptor-associated factor 1	1.0000	0.9989	6	24	24	24	7	11	6	     0	     0	     0		
sp|Q13094|LCP2_HUMAN	Q13094	LCP2_HUMAN	LCP2	533	Homo sapiens	1:Experimental evidence at protein level	Lymphocyte cytosolic protein 2	1.0000	0.9976	2	3	3	3	1	2	0	     0	     0	     0		
sp|Q13105|ZBT17_HUMAN	Q13105	ZBT17_HUMAN	ZBTB17	803	Homo sapiens	1:Experimental evidence at protein level	Zinc finger and BTB domain-containing protein 17	1.0000	0.9982	5	5	5	5	0	0	5	     0	     0	     0		
sp|Q13107|UBP4_HUMAN	Q13107	UBP4_HUMAN	USP4	963	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 4	1.0000	0.9984	3	8	5	8	2	4	2	     0	     0	     0		
sp|Q13111|CAF1A_HUMAN	Q13111	CAF1A_HUMAN	CHAF1A	956	Homo sapiens	1:Experimental evidence at protein level	Chromatin assembly factor 1 subunit A	1.0000	0.9926	2	3	3	3	1	0	2	     0	     0	     0		
sp|Q13114|TRAF3_HUMAN	Q13114	TRAF3_HUMAN	TRAF3	568	Homo sapiens	1:Experimental evidence at protein level	TNF receptor-associated factor 3	1.0000	0.9985	2	4	4	4	1	2	1	     0	     0	     0		
sp|Q13115|DUS4_HUMAN	Q13115	DUS4_HUMAN	DUSP4	394	Homo sapiens	1:Experimental evidence at protein level	Dual specificity protein phosphatase 4	1.0000	0.9940	4	8	4	8	0	3	5	     0	     0	     0		
sp|Q13123|RED_HUMAN	Q13123	RED_HUMAN	IK	557	Homo sapiens	1:Experimental evidence at protein level	Protein Red	1.0000	0.9965	2	4	4	4	0	3	1	     0	     0	     0		
sp|Q13144|EI2BE_HUMAN	Q13144	EI2BE_HUMAN	EIF2B5	721	Homo sapiens	1:Experimental evidence at protein level	Translation initiation factor eIF2B subunit epsilon	1.0000	0.9987	3	3	3	3	0	2	1	     0	     0	     0		
sp|Q13155|AIMP2_HUMAN	Q13155	AIMP2_HUMAN	AIMP2	320	Homo sapiens	1:Experimental evidence at protein level	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	1.0000	0.9836	1	1	1	1	0	0	1	     0	     0	     0		
sp|Q13158|FADD_HUMAN	Q13158	FADD_HUMAN	FADD	208	Homo sapiens	1:Experimental evidence at protein level	FAS-associated death domain protein	1.0000	0.9903	1	2	2	2	0	1	1	     0	     0	     0		
sp|Q13163|MP2K5_HUMAN	Q13163	MP2K5_HUMAN	MAP2K5	448	Homo sapiens	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 5	1.0000	0.9969	1	5	5	5	1	2	2	     0	     0	     0		
sp|Q13190|STX5_HUMAN	Q13190	STX5_HUMAN	STX5	355	Homo sapiens	1:Experimental evidence at protein level	Syntaxin-5	1.0000	0.9968	1	2	2	2	0	0	2	     0	     0	     0		
sp|Q13200|PSMD2_HUMAN	Q13200	PSMD2_HUMAN	PSMD2	908	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 2	1.0000	0.9990	11	37	37	37	7	15	15	     0	     0	     0		
sp|Q13217|DNJC3_HUMAN	Q13217	DNJC3_HUMAN	DNAJC3	504	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 3	1.0000	0.9988	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q13243|SRSF5_HUMAN	Q13243	SRSF5_HUMAN	SRSF5	272	Homo sapiens	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 5	1.0000	0.9983	2	10	10	10	2	2	6	     0	     0	     0		
sp|Q13263|TIF1B_HUMAN	Q13263	TIF1B_HUMAN	TRIM28	835	Homo sapiens	1:Experimental evidence at protein level	Transcription intermediary factor 1-beta	1.0000	0.9975	4	9	9	9	1	3	5	     0	     0	     0		
sp|Q13283|G3BP1_HUMAN	Q13283	G3BP1_HUMAN	G3BP1	466	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating protein-binding protein 1	1.0000	0.9984	7	20	20	20	5	5	10	     0	     0	     0		
sp|Q13310|PABP4_HUMAN	Q13310	PABP4_HUMAN	PABPC4	644	Homo sapiens	1:Experimental evidence at protein level	Polyadenylate-binding protein 4	1.0000	0.9973	5	11	5	11	0	3	8	     0	     0	     0		
sp|Q13315|ATM_HUMAN	Q13315	ATM_HUMAN	ATM	3056	Homo sapiens	1:Experimental evidence at protein level	Serine-protein kinase ATM	1.0000	0.9990	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q13342|SP140_HUMAN	Q13342	SP140_HUMAN	SP140	867	Homo sapiens	1:Experimental evidence at protein level	Nuclear body protein SP140	1.0000	0.9962	1	3	3	3	1	2	0	     0	     0	     0		
sp|Q13347|EIF3I_HUMAN	Q13347	EIF3I_HUMAN	EIF3I	325	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit I	1.0000	0.9988	2	3	3	3	0	1	2	     0	     0	     0		
sp|Q13356|PPIL2_HUMAN	Q13356	PPIL2_HUMAN	PPIL2	520	Homo sapiens	1:Experimental evidence at protein level	RING-type E3 ubiquitin-protein ligase PPIL2	1.0000	0.9978	4	9	9	9	2	4	3	     0	     0	     0		
sp|Q13418|ILK_HUMAN	Q13418	ILK_HUMAN	ILK	452	Homo sapiens	1:Experimental evidence at protein level	Scaffold protein ILK	1.0000	0.9981	4	8	6	8	1	3	4	     0	     0	     0		
sp|Q13422|IKZF1_HUMAN	Q13422	IKZF1_HUMAN	IKZF1	519	Homo sapiens	1:Experimental evidence at protein level	DNA-binding protein Ikaros	1.0000	0.9942	2	5	4	5	1	1	3	     0	     0	     0		
sp|Q13435|SF3B2_HUMAN	Q13435	SF3B2_HUMAN	SF3B2	895	Homo sapiens	1:Experimental evidence at protein level	Splicing factor 3B subunit 2	1.0000	0.9985	7	12	12	12	1	3	8	     0	     0	     0		
sp|Q13438|OS9_HUMAN	Q13438	OS9_HUMAN	OS9	667	Homo sapiens	1:Experimental evidence at protein level	Protein OS-9	1.0000	0.9983	3	10	10	10	0	5	5	     0	     0	     0		
sp|Q13464|ROCK1_HUMAN	Q13464	ROCK1_HUMAN	ROCK1	1354	Homo sapiens	1:Experimental evidence at protein level	Rho-associated protein kinase 1	1.0000	0.9984	2	5	5	5	0	1	4	     0	     0	     0		
sp|Q13469|NFAC2_HUMAN	Q13469	NFAC2_HUMAN	NFATC2	925	Homo sapiens	1:Experimental evidence at protein level	Nuclear factor of activated T-cells, cytoplasmic 2	1.0000	0.9951	2	5	5	5	1	2	2	     0	     0	     0		
sp|Q13488|VPP3_HUMAN	Q13488	VPP3_HUMAN	TCIRG1	830	Homo sapiens	1:Experimental evidence at protein level	V-type proton ATPase 116 kDa subunit a 3	1.0000	0.9894	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q13505|MTX1_HUMAN	Q13505	MTX1_HUMAN	MTX1	466	Homo sapiens	1:Experimental evidence at protein level	Metaxin-1	1.0000	0.9981	3	4	4	4	0	0	4	     0	     0	     0		
sp|Q13535|ATR_HUMAN	Q13535	ATR_HUMAN	ATR	2644	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase ATR	1.0000	0.9921	4	5	5	5	1	2	2	     0	     0	     0		
sp|Q13547|HDAC1_HUMAN	Q13547	HDAC1_HUMAN	HDAC1	482	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase 1	1.0000	0.9971	3	4	4	8	1	1	2	     0	     0	     0		
sp|Q13568|IRF5_HUMAN	Q13568	IRF5_HUMAN	IRF5	498	Homo sapiens	1:Experimental evidence at protein level	Interferon regulatory factor 5	1.0000	0.9867	2	2	2	2	0	2	0	     0	     0	     0		
sp|Q13571|LAPM5_HUMAN	Q13571	LAPM5_HUMAN	LAPTM5	262	Homo sapiens	1:Experimental evidence at protein level	Lysosomal-associated transmembrane protein 5	1.0000	0.9948	2	3	3	3	0	2	1	     0	     0	     0		
sp|Q13573|SNW1_HUMAN	Q13573	SNW1_HUMAN	SNW1	536	Homo sapiens	1:Experimental evidence at protein level	SNW domain-containing protein 1	1.0000	0.9955	2	5	5	5	1	1	3	     0	     0	     0		
sp|Q13588|GRAP_HUMAN	Q13588	GRAP_HUMAN	GRAP	217	Homo sapiens	1:Experimental evidence at protein level	GRB2-related adapter protein	1.0000	0.9987	1	6	6	6	2	2	2	     0	     0	     0		
sp|Q13596|SNX1_HUMAN	Q13596	SNX1_HUMAN	SNX1	522	Homo sapiens	1:Experimental evidence at protein level	Sorting nexin-1	1.0000	0.9971	2	3	3	3	0	3	0	     0	     0	     0		
sp|Q13616|CUL1_HUMAN	Q13616	CUL1_HUMAN	CUL1	776	Homo sapiens	1:Experimental evidence at protein level	Cullin-1	1.0000	0.9919	3	5	5	5	0	1	4	     0	     0	     0		
sp|Q13618|CUL3_HUMAN	Q13618	CUL3_HUMAN	CUL3	768	Homo sapiens	1:Experimental evidence at protein level	Cullin-3	1.0000	0.9989	3	5	5	5	1	2	2	     0	     0	     0		
sp|Q13619|CUL4A_HUMAN	Q13619	CUL4A_HUMAN	CUL4A	759	Homo sapiens	1:Experimental evidence at protein level	Cullin-4A	1.0000	0.9989	2	4	3	4	1	1	2	     0	     0	     0		
sp|Q13627|DYR1A_HUMAN	Q13627	DYR1A_HUMAN	DYRK1A	763	Homo sapiens	1:Experimental evidence at protein level	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	1.0000	0.9980	2	2	0	2	0	1	1	     0	     0	     0	sp|Q9Y463|DYR1B_HUMAN	
sp|Q13635|PTC1_HUMAN	Q13635	PTC1_HUMAN	PTCH1	1447	Homo sapiens	1:Experimental evidence at protein level	Protein patched homolog 1	1.0000	0.9957	1	2	2	2	0	0	2	     0	     0	     0		
sp|Q13685|AAMP_HUMAN	Q13685	AAMP_HUMAN	AAMP	434	Homo sapiens	1:Experimental evidence at protein level	Angio-associated migratory cell protein	1.0000	0.9976	4	8	8	8	1	2	5	     0	     0	     0		
sp|Q13724|MOGS_HUMAN	Q13724	MOGS_HUMAN	MOGS	837	Homo sapiens	1:Experimental evidence at protein level	Mannosyl-oligosaccharide glucosidase	1.0000	0.9933	3	5	5	5	0	4	1	     0	     0	     0		
sp|Q13761|RUNX3_HUMAN	Q13761	RUNX3_HUMAN	RUNX3	415	Homo sapiens	1:Experimental evidence at protein level	Runt-related transcription factor 3	1.0000	0.9987	3	12	2	12	1	2	9	     0	     0	     0		
sp|Q13794|APR_HUMAN	Q13794	APR_HUMAN	PMAIP1	54	Homo sapiens	1:Experimental evidence at protein level	Phorbol-12-myristate-13-acetate-induced protein 1	1.0000	0.9966	5	25	25	25	1	7	17	     0	     0	     0		
sp|Q13867|BLMH_HUMAN	Q13867	BLMH_HUMAN	BLMH	455	Homo sapiens	1:Experimental evidence at protein level	Bleomycin hydrolase	1.0000	0.9968	3	3	3	3	0	3	0	     0	     0	     0		
sp|Q13888|TF2H2_HUMAN	Q13888	TF2H2_HUMAN	GTF2H2	395	Homo sapiens	1:Experimental evidence at protein level	General transcription factor IIH subunit 2	1.0000	0.9975	4	10	0	10	0	4	6	     0	     0	     0	sp|Q6P1K8|T2H2L_HUMAN	
sp|Q13905|RPGF1_HUMAN	Q13905	RPGF1_HUMAN	RAPGEF1	1077	Homo sapiens	1:Experimental evidence at protein level	Rap guanine nucleotide exchange factor 1	1.0000	0.9845	3	3	3	3	0	1	2	     0	     0	     0		
sp|Q13907|IDI1_HUMAN	Q13907	IDI1_HUMAN	IDI1	227	Homo sapiens	1:Experimental evidence at protein level	Isopentenyl-diphosphate Delta-isomerase 1	1.0000	0.9916	3	5	5	5	0	2	3	     0	     0	     0		
sp|Q14005|IL16_HUMAN	Q14005	IL16_HUMAN	IL16	1332	Homo sapiens	1:Experimental evidence at protein level	Pro-interleukin-16	1.0000	0.9964	2	4	4	4	1	0	3	     0	     0	     0		
sp|Q14008|CKAP5_HUMAN	Q14008	CKAP5_HUMAN	CKAP5	2032	Homo sapiens	1:Experimental evidence at protein level	Cytoskeleton-associated protein 5	1.0000	0.9962	2	2	2	2	0	2	0	     0	     0	     0		
sp|Q14094|CCNI_HUMAN	Q14094	CCNI_HUMAN	CCNI	377	Homo sapiens	1:Experimental evidence at protein level	Cyclin-I	1.0000	0.9967	2	7	7	7	1	2	4	     0	     0	     0		
sp|Q14137|BOP1_HUMAN	Q14137	BOP1_HUMAN	BOP1	746	Homo sapiens	1:Experimental evidence at protein level	Ribosome biogenesis protein BOP1	1.0000	0.9961	7	14	14	14	1	4	9	     0	     0	     0		
sp|Q14142|TRI14_HUMAN	Q14142	TRI14_HUMAN	TRIM14	442	Homo sapiens	1:Experimental evidence at protein level	Tripartite motif-containing protein 14	1.0000	0.9964	3	7	7	7	1	3	3	     0	     0	     0		
sp|Q14145|KEAP1_HUMAN	Q14145	KEAP1_HUMAN	KEAP1	624	Homo sapiens	1:Experimental evidence at protein level	Kelch-like ECH-associated protein 1	1.0000	0.9973	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q14146|URB2_HUMAN	Q14146	URB2_HUMAN	URB2	1524	Homo sapiens	1:Experimental evidence at protein level	Unhealthy ribosome biogenesis protein 2 homolog	1.0000	0.9984	1	3	3	3	0	1	2	     0	     0	     0		
sp|Q14152|EIF3A_HUMAN	Q14152	EIF3A_HUMAN	EIF3A	1382	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit A	1.0000	0.9983	4	11	11	11	1	3	7	     0	     0	     0		
sp|Q14155|ARHG7_HUMAN	Q14155	ARHG7_HUMAN	ARHGEF7	803	Homo sapiens	1:Experimental evidence at protein level	Rho guanine nucleotide exchange factor 7	1.0000	0.9984	4	7	0	7	1	1	5	     0	     0	     0	sp|Q15052|ARHG6_HUMAN	
sp|Q14156|EFR3A_HUMAN	Q14156	EFR3A_HUMAN	EFR3A	821	Homo sapiens	1:Experimental evidence at protein level	Protein EFR3 homolog A	1.0000	0.9969	7	13	13	13	3	3	7	     0	     0	     0		
sp|Q14157|UBP2L_HUMAN	Q14157	UBP2L_HUMAN	UBAP2L	1087	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-associated protein 2-like	1.0000	0.9987	4	5	5	5	1	1	3	     0	     0	     0		
sp|Q14160|SCRIB_HUMAN	Q14160	SCRIB_HUMAN	SCRIB	1655	Homo sapiens	1:Experimental evidence at protein level	Protein scribble homolog	1.0000	0.9982	4	6	6	6	0	3	3	     0	     0	     0		
sp|Q14181|DPOA2_HUMAN	Q14181	DPOA2_HUMAN	POLA2	598	Homo sapiens	1:Experimental evidence at protein level	DNA polymerase alpha subunit B	1.0000	0.9953	2	3	3	3	1	1	1	     0	     0	     0		
sp|Q14186|TFDP1_HUMAN	Q14186	TFDP1_HUMAN	TFDP1	410	Homo sapiens	1:Experimental evidence at protein level	Transcription factor Dp-1	1.0000	0.9952	2	4	4	4	0	1	3	     0	     0	     0		
sp|Q14191|WRN_HUMAN	Q14191	WRN_HUMAN	WRN	1432	Homo sapiens	1:Experimental evidence at protein level	Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN	1.0000	0.9989	3	5	5	5	2	0	3	     0	     0	     0		
sp|Q14194|DPYL1_HUMAN	Q14194	DPYL1_HUMAN	CRMP1	572	Homo sapiens	1:Experimental evidence at protein level	Dihydropyrimidinase-related protein 1	1.0000	0.9881	2	2	0	2	0	1	1	     0	     0	     0	sp|Q16555|DPYL2_HUMAN	
sp|Q14203|DCTN1_HUMAN	Q14203	DCTN1_HUMAN	DCTN1	1278	Homo sapiens	1:Experimental evidence at protein level	Dynactin subunit 1	1.0000	0.9950	3	4	4	4	0	1	3	     0	     0	     0		
sp|Q14204|DYHC1_HUMAN	Q14204	DYHC1_HUMAN	DYNC1H1	4646	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic dynein 1 heavy chain 1	1.0000	0.9952	10	11	11	11	1	3	7	     0	     0	     0		
sp|Q14258|TRI25_HUMAN	Q14258	TRI25_HUMAN	TRIM25	630	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin/ISG15 ligase TRIM25	1.0000	0.9987	7	33	33	33	6	9	18	     0	     0	     0		
sp|Q14289|FAK2_HUMAN	Q14289	FAK2_HUMAN	PTK2B	1009	Homo sapiens	1:Experimental evidence at protein level	Protein-tyrosine kinase 2-beta	1.0000	0.9987	4	7	7	7	1	3	3	     0	     0	     0		
sp|Q14296|FASTK_HUMAN	Q14296	FASTK_HUMAN	FASTK	549	Homo sapiens	1:Experimental evidence at protein level	Fas-activated serine/threonine kinase	1.0000	0.9907	3	6	6	6	1	2	3	     0	     0	     0		
sp|Q14318|FKBP8_HUMAN	Q14318	FKBP8_HUMAN	FKBP8	412	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP8	1.0000	0.9967	3	5	5	5	0	1	4	     0	     0	     0		
sp|Q14331|FRG1_HUMAN	Q14331	FRG1_HUMAN	FRG1	258	Homo sapiens	1:Experimental evidence at protein level	Protein FRG1	1.0000	0.9988	4	6	4	6	0	1	5	     0	     0	     0		
sp|Q14444|CAPR1_HUMAN	Q14444	CAPR1_HUMAN	CAPRIN1	709	Homo sapiens	1:Experimental evidence at protein level	Caprin-1	1.0000	0.9909	2	4	4	4	0	2	2	     0	     0	     0		
sp|Q14457|BECN1_HUMAN	Q14457	BECN1_HUMAN	BECN1	450	Homo sapiens	1:Experimental evidence at protein level	Beclin-1	1.0000	0.9961	2	2	2	2	0	2	0	     0	     0	     0		
sp|Q14469|HES1_HUMAN	Q14469	HES1_HUMAN	HES1	280	Homo sapiens	1:Experimental evidence at protein level	Transcription factor HES-1	1.0000	0.9988	3	14	14	14	2	2	10	     0	     0	     0		
sp|Q14493|SLBP_HUMAN	Q14493	SLBP_HUMAN	SLBP	270	Homo sapiens	1:Experimental evidence at protein level	Histone RNA hairpin-binding protein	1.0000	0.9987	2	3	3	3	0	0	3	     0	     0	     0		
sp|Q14494|NF2L1_HUMAN	Q14494	NF2L1_HUMAN	NFE2L1	772	Homo sapiens	1:Experimental evidence at protein level	Endoplasmic reticulum membrane sensor NFE2L1	1.0000	0.9906	2	3	3	3	0	2	1	     0	     0	     0		
sp|Q14527|HLTF_HUMAN	Q14527	HLTF_HUMAN	HLTF	1009	Homo sapiens	1:Experimental evidence at protein level	DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF	1.0000	0.9986	5	8	8	8	0	3	5	     0	     0	     0		
sp|Q14562|DHX8_HUMAN	Q14562	DHX8_HUMAN	DHX8	1220	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DHX8	1.0000	0.9989	3	5	5	5	0	2	3	     0	     0	     0		
sp|Q14566|MCM6_HUMAN	Q14566	MCM6_HUMAN	MCM6	821	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM6	1.0000	0.9978	5	10	10	10	1	4	5	     0	     0	     0		
sp|Q14582|MAD4_HUMAN	Q14582	MAD4_HUMAN	MXD4	209	Homo sapiens	1:Experimental evidence at protein level	Max dimerization protein 4	1.0000	0.9968	2	2	2	2	0	1	1	     0	     0	     0		
sp|Q14596|NBR1_HUMAN	Q14596	NBR1_HUMAN	NBR1	966	Homo sapiens	1:Experimental evidence at protein level	Next to BRCA1 gene 1 protein	1.0000	0.9987	1	6	6	6	1	1	4	     0	     0	     0		
sp|Q14643|ITPR1_HUMAN	Q14643	ITPR1_HUMAN	ITPR1	2758	Homo sapiens	1:Experimental evidence at protein level	Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1	1.0000	0.9967	4	6	3	6	1	2	3	     0	     0	     0		
sp|Q14644|RASA3_HUMAN	Q14644	RASA3_HUMAN	RASA3	834	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating protein 3	1.0000	0.9969	4	5	4	5	0	5	0	     0	     0	     0		
sp|Q14653|IRF3_HUMAN	Q14653	IRF3_HUMAN	IRF3	427	Homo sapiens	1:Experimental evidence at protein level	Interferon regulatory factor 3	1.0000	0.9975	3	9	9	9	2	3	4	     0	     0	     0		
sp|Q14657|LAGE3_HUMAN	Q14657	LAGE3_HUMAN	LAGE3	143	Homo sapiens	1:Experimental evidence at protein level	EKC/KEOPS complex subunit LAGE3	1.0000	0.9982	1	8	8	8	1	2	5	     0	     0	     0		
sp|Q14667|BLTP2_HUMAN	Q14667	BLTP2_HUMAN	BLTP2	2235	Homo sapiens	1:Experimental evidence at protein level	Bridge-like lipid transfer protein family member 2	1.0000	0.9981	3	5	5	5	0	1	4	     0	     0	     0		
sp|Q14669|TRIPC_HUMAN	Q14669	TRIPC_HUMAN	TRIP12	2067	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TRIP12	1.0000	0.9990	10	35	35	35	9	11	15	     0	     0	     0		
sp|Q14671|PUM1_HUMAN	Q14671	PUM1_HUMAN	PUM1	1186	Homo sapiens	1:Experimental evidence at protein level	Pumilio homolog 1	1.0000	0.9978	4	10	6	10	1	4	5	     0	     0	     0		
sp|Q14674|ESPL1_HUMAN	Q14674	ESPL1_HUMAN	ESPL1	2120	Homo sapiens	1:Experimental evidence at protein level	Separin	1.0000	0.9976	5	10	10	10	1	3	6	     0	     0	     0		
sp|Q14680|MELK_HUMAN	Q14680	MELK_HUMAN	MELK	651	Homo sapiens	1:Experimental evidence at protein level	Maternal embryonic leucine zipper kinase	1.0000	0.9987	2	8	8	8	0	2	6	     0	     0	     0		
sp|Q14683|SMC1A_HUMAN	Q14683	SMC1A_HUMAN	SMC1A	1233	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes protein 1A	1.0000	0.9984	2	3	3	3	1	2	0	     0	     0	     0		
